DataOwner,DataStatus,LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,LabDup,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes,ResultRejected
2040,"3000 - Public, Review Status Unknown",Castaic Lake at MWD turnout pipe,CAS00000,CAS00000,S0124B0002,01/16/2024 10:15,Dissolved Bromide,24959-67-9,Y,0.116,0.1,mg/L,EPA 300.0 [1]*,60 Meters,"Water, Natural",Normal Sample,0,Castaic Dam Control Bldg MWD Turnout,,N
2040,"3000 - Public, Review Status Unknown",Castaic Lake at MWD turnout pipe,CAS00000,CAS00000,S0124B0002,01/16/2024 10:15,Dissolved Bromide,24959-67-9,,0.12,0.1,mg/L,EPA 300.0 [1]*,60 Meters,"Water, Natural",Normal Sample,0,Castaic Dam Control Bldg MWD Turnout,,N
2040,"3000 - Public, Review Status Unknown",Castaic Lake at MWD turnout pipe,CAS00000,CAS00000,S0124B0002,01/16/2024 10:15,Dissolved Chloride,16887-00-6,Y,35.4,10,mg/L,EPA 300.0 [1]*,60 Meters,"Water, Natural",Normal Sample,0,Castaic Dam Control Bldg MWD Turnout,,N
2040,"3000 - Public, Review Status Unknown",Castaic Lake at MWD turnout pipe,CAS00000,CAS00000,S0124B0002,01/16/2024 10:15,Dissolved Chloride,16887-00-6,,35.1,10,mg/L,EPA 300.0 [1]*,60 Meters,"Water, Natural",Normal Sample,0,Castaic Dam Control Bldg MWD Turnout,,N
2040,"3000 - Public, Review Status Unknown",Castaic Lake at MWD turnout pipe,CAS00000,CAS00000,S0124B0002,01/16/2024 10:15,Specific Conductance,0,,473,5,µmhos/cm@25°C,Std Method 2510-B [1]*,60 Meters,"Water, Natural",Normal Sample,0,Castaic Dam Control Bldg MWD Turnout,,N
2040,"3000 - Public, Review Status Unknown",Castaic Lake at MWD turnout pipe,CAS00000,CAS00000,S0124B0002,01/16/2024 10:15,Dissolved Nitrate,14797-55-8,,2.33,1,mg/L,EPA 300.0 [1]*,60 Meters,"Water, Natural",Normal Sample,0,Castaic Dam Control Bldg MWD Turnout,,N
2040,"3000 - Public, Review Status Unknown",Castaic Lake at MWD turnout pipe,CAS00000,CAS00000,S0124B0002,01/16/2024 10:15,Dissolved Nitrate,14797-55-8,Y,2.36,1,mg/L,EPA 300.0 [1]*,60 Meters,"Water, Natural",Normal Sample,0,Castaic Dam Control Bldg MWD Turnout,,N
2040,"3000 - Public, Review Status Unknown",Castaic Lake at MWD turnout pipe,CAS00000,CAS00000,S0124B0002,01/16/2024 10:15,Total Dissolved Solids,0,,293,2.5,mg/L,Std Method 2540 C [1]*,60 Meters,"Water, Natural",Normal Sample,0,Castaic Dam Control Bldg MWD Turnout,,N
2040,"3000 - Public, Review Status Unknown",Castaic Lake at MWD turnout pipe,CAS00000,CAS00000,S0124B0002,01/16/2024 10:15,Dissolved Sulfate,14808-79-8,Y,80.2,10,mg/L,EPA 300.0 [1]*,60 Meters,"Water, Natural",Normal Sample,0,Castaic Dam Control Bldg MWD Turnout,,N
2040,"3000 - Public, Review Status Unknown",Castaic Lake at MWD turnout pipe,CAS00000,CAS00000,S0124B0002,01/16/2024 10:15,Dissolved Sulfate,14808-79-8,,80.2,10,mg/L,EPA 300.0 [1]*,60 Meters,"Water, Natural",Normal Sample,0,Castaic Dam Control Bldg MWD Turnout,,N
2040,"900 - Invalid Data, Internal Only",Castaic Lake at MWD turnout pipe,CAS00000,CAS00000,S0124B0002,01/16/2024 10:15,Field Water Color (Description),0,,GREEN,,,Field Observations (Water) [T]*,60 Meters,"Water, Natural",Normal Sample,0,Castaic Dam Control Bldg MWD Turnout,,
2040,"3000 - Public, Review Status Unknown",Castaic Lake at MWD turnout pipe,CAS00000,CAS00000,S0124B0002,01/16/2024 10:15,Field Water Color (Description),0,,GREEN,,,Field Observations (Water) [T]*,60 Meters,"Water, Natural",Normal Sample,0,Castaic Dam Control Bldg MWD Turnout,,
2040,"3000 - Public, Review Status Unknown",Castaic Lake at MWD turnout pipe,CAS00000,CAS00000,S0124B0002,01/16/2024 10:15,Field Specific Conductance,0,, 438,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,60 Meters,"Water, Natural",Normal Sample,0,Castaic Dam Control Bldg MWD Turnout,,
2040,"900 - Invalid Data, Internal Only",Castaic Lake at MWD turnout pipe,CAS00000,CAS00000,S0124B0002,01/16/2024 10:15,Field Specific Conductance,0,, 438,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,60 Meters,"Water, Natural",Normal Sample,0,Castaic Dam Control Bldg MWD Turnout,,
