DataOwner,DataStatus,LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,LabDup,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes,ResultRejected
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0124B0036,01/16/2024 08:45,Dissolved Bromide,24959-67-9,,0.391,0.1,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0124B0036,01/16/2024 08:45,Dissolved Chloride,16887-00-6,,125,7.5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0124B0036,01/16/2024 08:45,Specific Conductance,0,,645,5,µmhos/cm@25°C,Std Method 2510-B [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0124B0036,01/16/2024 08:45,Dissolved Nitrate,14797-55-8,,2.5,0.75,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0124B0036,01/16/2024 08:45,Total Dissolved Solids,0,Y,354,2.5,mg/L,Std Method 2540 C [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0124B0036,01/16/2024 08:45,Total Dissolved Solids,0,,354,2.5,mg/L,Std Method 2540 C [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0124B0036,01/16/2024 08:45,Dissolved Sulfate,14808-79-8,,31.4,7.5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0124B0036,01/16/2024 08:45,Field Specific Conductance,0,, 639,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"900 - Invalid Data, Internal Only",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0124B0036,01/16/2024 08:45,Field Specific Conductance,0,, 639,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"900 - Invalid Data, Internal Only",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0124B0036,01/16/2024 08:45,Field pH,0,, 7.8,,pH Units,EPA 150.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0124B0036,01/16/2024 08:45,Field pH,0,, 7.8,,pH Units,EPA 150.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"900 - Invalid Data, Internal Only",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0124B0036,01/16/2024 08:45,Field Water Temperature,0,, 10.2,,°C,EPA 170.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0124B0036,01/16/2024 08:45,Field Water Temperature,0,, 10.2,,°C,EPA 170.1 (Field) [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0124B0036,01/16/2024 08:45,Field Turbidity,0,, 6.8,,N.T.U.,EPA 180.1 (Field) [D-2]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"900 - Invalid Data, Internal Only",Delta Mendota Canal @ McCabe Rd,DMC @McCabe Rd,DMC06716,SL0124B0036,01/16/2024 08:45,Field Turbidity,0,, 6.8,,N.T.U.,EPA 180.1 (Field) [D-2]*,0 Meters,"Water, Natural",Normal Sample,0,,,
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0124B0035,01/16/2024 09:45,Dissolved Bromide,24959-67-9,,0.374,0.1,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0124B0035,01/16/2024 09:45,Dissolved Chloride,16887-00-6,,121,7.5,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0124B0035,01/16/2024 09:45,Specific Conductance,0,,676,5,µmhos/cm@25°C,Std Method 2510-B [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0124B0035,01/16/2024 09:45,Dissolved Nitrate,14797-55-8,,3.36,0.75,mg/L,EPA 300.0 [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0124B0035,01/16/2024 09:45,Total Dissolved Solids,0,,376,2.5,mg/L,Std Method 2540 C [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
2040,"3000 - Public, Review Status Unknown","CA Aqueduct, Ck 13, O'Neill Outlet",CHECK 13,KA007089,SL0124B0035,01/16/2024 09:45,Total Suspended Solids,0,,4.4,2.5,mg/L,Std Method 2540 D [1]*,0 Meters,"Water, Natural",Normal Sample,0,,,N
